Datetime,Phasor 1,Source IP,Destination IP
2014-01-28 23:00:15.783000,"[{'magnitude': 253829.859375, 'angle': -11.843037464161652}]",10.0.1.1,10.0.2.2
2014-01-28 23:00:15.900000,"[{'magnitude': 253829.859375, 'angle': -10.37053576401882}]",10.0.1.1,10.0.2.2
2014-01-28 23:00:16.933000,"[{'magnitude': 253857.328125, 'angle': -9.975195023348373}]",10.0.1.1,10.0.2.2
2014-01-28 23:00:13.850000,"[{'magnitude': 253866.484375, 'angle': -11.012249112014443}]","[{'magnitude': 260870.265625, 'angle': -130.59426877977597}]","[{'magnitude': 255889.796875, 'angle': 110.74700946690454}]",10.0.1.1,10.0.2.2
